instrument_id,instrument_category,inst_pred_confidence,associated_text_ids,associated_text_values,connecting_link_id,connecting__category,connected_instruments_1,connected_instruments_2,connected_instruments_3
cb214962-dff5-4c98-a135-3a24685bdd8d,DCS,0.4189,"['8287f304-e73f-4ac1-ba63-ccd4f8e1ceda', 'd4b50b49-b706-472e-8044-7d32ed182291']","['BCP1?', 'BCP BCP1']",,,,,
4c6d97ab-05ac-43a3-a38b-3c6e26efc8d2,DCS,0.4415,['d4b50b49-b706-472e-8044-7d32ed182291'],['BCP BCP1'],,,,,
a5c11fa5-ba73-4f00-b50e-3a3aab588d4b,DCS,0.4267,['8287f304-e73f-4ac1-ba63-ccd4f8e1ceda'],['BCP1?'],,,,,
2a409cd0-5acf-4076-b636-4f278cf453fb,DCS,0.4359,['fdd9ec63-445b-4c85-b404-903a76c63ccd'],['BCPT'],0ef47aab-6c7e-42aa-bda1-f06e12d36d11,ELECTRIC,2a409cd0-5acf-4076-b636-4f278cf453fb,,
8f25037f-53c4-4e8e-ae3d-0abf9708d383,DCS,0.4609,['b31c8f20-c3a6-4528-87b3-2aaf6f62c9c1'],['BCP1'],,,,,
8f4010c9-a030-43ce-84a6-b73f1ce4c5c5,DCS,0.4611,"['c4121056-288b-4942-825d-a2424d1987c6', '072e62c0-b962-477b-82cc-282abe99273d']","['SCMS', 'ER PROBE FITTING (NOTE']",,,,,
39ffc836-6bd5-4ab2-8122-807584ce7bf1,Indicator,0.4599,,,,,,,
9721f31a-8c60-42f6-bc4c-47bce42a14b7,Indicator,0.4521,,,,,,,
e666f905-2097-4897-94c6-e155141d8ecc,Indicator,0.4793,['f9e7db53-024f-473f-9cf7-cffc01c26a4e'],['REMOTE MOUNTED 22203 Vzz#'],5047c956-bc98-4da9-aa1c-196b86e255bf,ELECTRIC,e666f905-2097-4897-94c6-e155141d8ecc,,
1acde6f3-4b3a-4ea3-9ace-d103106fcca2,Indicator,0.6601,['db108c0e-21e7-4149-94d8-4d1e255277ef'],['22053 2 (NOTE CM-A-8766'],,,,,
4916cc5c-e1ec-426f-876f-070541cf19c5,Indicator,0.6439,,,,,,,
0e2e3a5e-abe4-4546-a9c1-3865d334e6ab,Indicator,0.451,,,,,,,
df370ee8-f35d-4e51-8229-23c8e9a12940,Indicator,0.4691,"['4310583c-fee8-4219-8053-79d131b9456b', 'b270ebe9-8a9b-44e4-a3bd-5bc70f017d21']","['(NOTE 3)', '22203']",,,,,
4be0aa0f-fa5d-49d9-985d-a6c962640757,Indicator,0.6321,['e1a2b169-0ba2-4e04-8311-81b0509607f2'],['2205'],,,,,
edb69e13-eea5-4c0f-8033-53ae75f37ba6,Indicator,0.6037,['a30fef89-bf39-45f1-b1f6-fc0d4c38c54f'],['BCP'],,,,,
46419343-f632-407c-a8d3-83c33925c147,Indicator,0.42,['bf13ad2c-4f4a-4a09-85cc-831ad1b6d873'],['(NOTE 6)'],,,,,
7ca61be7-fce4-45eb-9f16-0b07ceac4b5a,Indicator,0.4104,,,d27f4983-8199-416f-b791-20410e7917e2,ELECTRIC,7ca61be7-fce4-45eb-9f16-0b07ceac4b5a,,
b74c8bf1-0265-47c0-b6dd-022f0397dbde,Indicator,0.4256,"['7ceb63e0-fff1-4425-956e-eff45bd405f8', '87d8e218-3479-441c-9b88-7b057093d410']","['2"" AZRZN', '22202']",,,,,
911e0383-8ca5-498c-92e6-993c12a8d07b,Indicator,0.6052,['ec638b4c-d499-49d6-95bc-5970ab942eb8'],['3728249 _ 2 AIiR ~28S18 Ecso (NOTE'],,,,,
d3497797-5461-4c1e-9a6f-926fe3d44f6c,Indicator,0.6708,"['186b6d7d-e22c-4678-a436-759b586694bf', '85c782b2-e4e8-4716-a5a4-119874dff653']","['BN', 'RECYCLE VALV 22102']",,,,,
ce50f046-427e-4e82-baf0-1dcb4fcc6d53,Indicator,0.4765,,,,,,,
bc71d653-2daa-4b71-b101-365737f841f9,Indicator,0.4079,['aece01e9-1b89-42b7-881d-59c1a828f461'],"['FIRE 1""E2"" SET 230 PSIG 22055']",8f450d40-964c-4853-b9e8-9f231c8a9786,ELECTRIC,bc71d653-2daa-4b71-b101-365737f841f9,,
3d18c2c1-6da2-4279-9df8-a2ebc3324321,Indicator,0.663,,,fad81689-ddc5-4e3d-8901-cf41dd759b5e,ELECTRIC,3d18c2c1-6da2-4279-9df8-a2ebc3324321,,
d3398449-2422-4220-8ba5-aea29f4b5d19,Indicator,0.7287,,,,,,,
07a43297-69c5-4f11-bdfb-55d45155d038,Indicator,0.5276,['35522a58-51a2-43ec-b394-4dfe8cf6d8d1'],['HIGH POINT'],,,,,
a4bd1693-1cb2-429a-8a5b-28740639e39b,Indicator,0.4789,,,,,,,
ea9f89c1-1ec6-423c-af26-7107a35c1291,Indicator,0.5108,,,,,,,
f62c9a82-c99f-43c6-9941-c9c333dedb9b,Indicator,0.424,['c4121056-288b-4942-825d-a2424d1987c6'],['SCMS'],,,,,
1870c7b0-8163-4035-8568-3ba7ebce4d57,Indicator,0.4136,['320db5b6-145f-4737-93c1-672c970eb861'],['BCPI'],,,,,
04dd739f-b363-422d-9e05-b4aade081e46,Indicator,0.4364,"['3a9cb896-8e00-4c97-929b-e9395d1c6b58', '3666321d-dd73-49b5-9061-c39a6463125f']","['ANT SURGE', 'BNLAN']",,,,,
9292629f-d30b-4712-856a-6c58c8abb266,Indicator,0.6419,,,,,,,
a42924c8-a0a5-42b5-834c-e7439424222d,Indicator,0.6245,,,,,,,
e5551feb-86d5-4d94-b35a-eff8e39a59f0,Indicator,0.4314,,,c8175bbf-896e-4404-9855-851f03f6c171,ELECTRIC,e5551feb-86d5-4d94-b35a-eff8e39a59f0,aaccc717-095f-4736-a184-c7dc975ae7dc,4b0c6ac4-1ca1-48c1-a363-a9dccd4e3805
1b8daa8b-cf1a-4fdd-8f99-a05216644901,Indicator,0.4544,['e1a2b169-0ba2-4e04-8311-81b0509607f2'],['2205'],,,,,
aaccc717-095f-4736-a184-c7dc975ae7dc,Indicator,0.6528,,,c8175bbf-896e-4404-9855-851f03f6c171,ELECTRIC,e5551feb-86d5-4d94-b35a-eff8e39a59f0,aaccc717-095f-4736-a184-c7dc975ae7dc,4b0c6ac4-1ca1-48c1-a363-a9dccd4e3805
ee3d659e-76bd-4ca3-aa78-22af4c470881,Indicator,0.6311,['bdc5c47c-d398-425a-9c69-72db93c96bc4'],"['M220581 2 AZRFM D CSO 2""x1\'']",,,,,
11aae7ca-fe0a-49de-87bf-0756ece24444,Process,0.6803,['38d77102-1bf9-4f53-8491-f332c16e13dc'],['871 4679'],e561188f-d94a-4f6b-98d0-a0a3fa566359,PIPE,11aae7ca-fe0a-49de-87bf-0756ece24444,,
cf7b5560-ddfd-4b83-b295-d46f7024942e,Process,0.6883,['0cec312d-f8bf-4433-b245-a51feec071e7'],['4378'],1c703358-e7c4-42f3-9980-980b33c54e5f,ELECTRIC,cf7b5560-ddfd-4b83-b295-d46f7024942e,,
af154e04-d3a3-44f6-aedf-be0c2387169b,Process,0.6123,['05668f7d-a218-47c1-88d2-eac930691e2f'],['4322'],5305470b-810c-4479-9193-1227c6171fa7,ELECTRIC,af154e04-d3a3-44f6-aedf-be0c2387169b,,
c51074fa-c333-4923-a610-b893c5d49b84,Process,0.6468,['0a6fdaef-d686-4c9b-b296-235a5d818159'],['322'],14caa3bb-be98-43f2-b5c6-9c37e4fa20b8,ELECTRIC,c51074fa-c333-4923-a610-b893c5d49b84,,
d5547c0e-6d84-42b2-b1fa-f45eec2699e5,Process,0.7911,['3925531f-79b3-4897-8beb-ce8bef7ba532'],['4420'],2310761b-d9d7-4415-b1b6-3a2dccb0dba8,ELECTRIC,d5547c0e-6d84-42b2-b1fa-f45eec2699e5,,
1a307e26-d4da-49a5-8cf7-8f38cfd3f10c,Process,0.8013,"['59d98958-8cde-4327-8e8d-901fce48ef08', 'ca3c0583-b22a-4d36-8000-4da26afc121d']","['4426', '4436']",08bcca90-9ba1-4a94-8b14-5cfaba5cb9c2,ELECTRIC,1a307e26-d4da-49a5-8cf7-8f38cfd3f10c,,
0fca618b-e724-4eff-b02d-5610070a1d21,Process,0.7304,['fea8ae8c-f50f-4589-9bee-b24350f5403a'],['568 4439'],454b0cc5-8f1d-4f8b-bfd5-40a8b51be85a,PIPE,0fca618b-e724-4eff-b02d-5610070a1d21,,
cb9f07c6-3b55-4d4c-8ba3-6da4bc570980,Process,0.6785,['bbe64d20-aa44-4a11-8fa5-abb0cac19b47'],['4680'],27c51e62-203a-4fe8-8a9e-ca285233e642,ELECTRIC,cb9f07c6-3b55-4d4c-8ba3-6da4bc570980,,
1e11afbe-5271-4796-af70-db84fc8485ee,Process,0.6225,['d2816abd-f10e-4e88-8e65-498efe9eaf79'],[''],4c55f508-4b36-4499-bbf6-ed6e132c02b5,PIPE,1e11afbe-5271-4796-af70-db84fc8485ee,,
a5ff0bef-10b4-4510-9e58-09fa1a1402cb,Process,0.6104,,,e723277f-21da-4410-b775-5f0671b971b0,PIPE,a5ff0bef-10b4-4510-9e58-09fa1a1402cb,,
81e35332-9478-490d-972e-cc7291eb0780,Process,0.6715,"['b81bda1b-b41b-48f2-b1b1-e2be4697df55', '7c3da512-7485-4c0c-bf21-df07277b19f9']","[""NQE ADDED SYSTEM No 's TO ALL P&ID' s FOR COMMISSIONING. 105"", '4200']",,,,,
6312cc66-11fc-4935-b917-413f7827829b,Process,0.6949,['64da05b3-ee15-4bc7-87b8-a53fc0f252a3'],['4353'],a73ca4a2-0f07-40f1-917f-3d94f878b674,ELECTRIC,6312cc66-11fc-4935-b917-413f7827829b,,
0da9aa28-6ae5-4bbf-bcf1-9c3f4c4118b8,Process,0.7202,,,639fb74c-5eab-4850-ba31-91c3b977256d,PIPE,0da9aa28-6ae5-4bbf-bcf1-9c3f4c4118b8,,
